   ,1,OCCUR_TIME,CONTENT,STATUS,BAY_ID,CONFIRM_STATUS,CUSTOMIZED_GROUP,FAC_ID,MARK_LABEL,RESP_AREA,YC_ID
1,1,2016/7/1 1:26,"2016年07月01日01时26分50秒       眉山.兰店站 10kV.兰三Ⅲ回924负荷924 电流值 越正常上限,限值:552.000 552.169",2,212001602,2,2,210000023,0,6,2.7E+12
2,1,2016/7/1 1:27,2016年07月01日01时27分10秒       眉山.兰店站 10kV.兰三Ⅲ回924负荷924 电流值 正常 549.004,1,212001602,2,2,210000023,0,6,2.7E+12
3,1,2016/7/1 1:27,"2016年07月01日01时27分25秒       眉山.兰店站 10kV.兰三Ⅲ回924负荷924 电流值 越正常上限,限值:552.000 565.534",2,212001602,2,2,210000023,0,6,2.7E+12
4,1,2016/7/1 1:28,2016年07月01日01时28分50秒       眉山.兰店站 10kV.兰三Ⅲ回924负荷924 电流值 正常 505.041,1,212001602,2,2,210000023,0,6,2.7E+12
5,1,2016/7/1 5:42,"2016年07月01日05时42分50秒       眉山.双河站 10kV.双城线914负荷914 电流值 越正常上限,限值:550.000 551.760",2,212001397,2,2,210000264,0,6,2.70001E+12
6,1,2016/7/1 5:43,2016年07月01日05时43分00秒       眉山.双河站 10kV.双城线914负荷914 电流值 正常 494.880,1,212001397,2,2,210000264,0,6,2.70001E+12
7,1,2016/7/1 5:47,"2016年07月01日05时47分35秒       眉山.双河站 10kV.双城线914负荷914 电流值 越正常上限,限值:550.000 555.240",2,212001397,2,2,210000264,0,6,2.70001E+12
8,1,2016/7/1 5:47,2016年07月01日05时47分50秒       眉山.双河站 10kV.双城线914负荷914 电流值 正常 273.000,1,212001397,2,2,210000264,0,6,2.70001E+12
9,1,2016/7/1 5:49,"2016年07月01日05时49分05秒       眉山.双河站 10kV.双城线914负荷914 电流值 越正常上限,限值:550.000 577.800",2,212001397,2,2,210000264,0,6,2.70001E+12
10,1,2016/7/1 5:49,2016年07月01日05时49分20秒       眉山.双河站 10kV.双城线914负荷914 电流值 正常 261.000,1,212001397,2,2,210000264,0,6,2.70001E+12
11,1,2016/7/1 5:49,"2016年07月01日05时49分45秒       眉山.双河站 10kV.双城线914负荷914 电流值 越正常上限,限值:550.000 581.040",2,212001397,2,2,210000264,0,6,2.70001E+12
12,1,2016/7/1 5:50,2016年07月01日05时50分00秒       眉山.双河站 10kV.双城线914负荷914 电流值 正常 527.400,1,212001397,2,2,210000264,0,6,2.70001E+12
13,1,2016/7/1 5:50,"2016年07月01日05时50分35秒       眉山.双河站 10kV.双城线914负荷914 电流值 越正常上限,限值:550.000 558.480",2,212001397,2,2,210000264,0,6,2.70001E+12
14,1,2016/7/1 5:50,2016年07月01日05时50分50秒       眉山.双河站 10kV.双城线914负荷914 电流值 正常 379.680,1,212001397,2,2,210000264,0,6,2.70001E+12
15,1,2016/7/1 6:22,"2016年07月01日06时22分10秒       眉山.西龙开闭所 10kV.母线 线电压幅值(ab) 越正常下限,限值:10.000  9.995",3,212002635,2,2,210000358,0,128,2.30001E+12
16,1,2016/7/1 6:22,2016年07月01日06时22分15秒       眉山.西龙开闭所 10kV.母线 线电压幅值(ab) 正常 10.001,1,212002635,2,2,210000358,0,128,2.30001E+12
17,1,2016/7/1 6:22,"2016年07月01日06时22分20秒       眉山.西龙开闭所 10kV.母线 线电压幅值(ab) 越正常下限,限值:10.000  9.977",3,212002635,2,2,210000358,0,128,2.30001E+12
18,1,2016/7/1 6:22,2016年07月01日06时22分35秒       眉山.西龙开闭所 10kV.母线 线电压幅值(ab) 正常 10.018,1,212002635,2,2,210000358,0,128,2.30001E+12
19,1,2016/7/1 6:25,"2016年07月01日06时25分00秒       眉山.西龙开闭所 10kV.母线 线电压幅值(ab) 越正常下限,限值:10.000  9.983",3,212002635,2,2,210000358,0,128,2.30001E+12
20,1,2016/7/1 6:25,2016年07月01日06时25分05秒       眉山.西龙开闭所 10kV.母线 线电压幅值(ab) 正常 10.001,1,212002635,2,2,210000358,0,128,2.30001E+12
21,1,2016/7/1 6:25,"2016年07月01日06时25分20秒       眉山.西龙开闭所 10kV.母线 线电压幅值(ab) 越正常下限,限值:10.000  9.983",3,212002635,2,2,210000358,0,128,2.30001E+12
22,1,2016/7/1 6:25,2016年07月01日06时25分25秒       眉山.西龙开闭所 10kV.母线 线电压幅值(ab) 正常 10.042,1,212002635,2,2,210000358,0,128,2.30001E+12
23,1,2016/7/1 6:30,"2016年07月01日06时30分10秒       眉山.西龙开闭所 10kV.母线 线电压幅值(ab) 越正常下限,限值:10.000  9.977",3,212002635,2,2,210000358,0,128,2.30001E+12
24,1,2016/7/1 6:30,2016年07月01日06时30分20秒       眉山.西龙开闭所 10kV.母线 线电压幅值(ab) 正常 10.036,1,212002635,2,2,210000358,0,128,2.30001E+12
